ticker,event_date,label,prev_close,premarket_open,premarket_high,market_open,day_high,day_low,close,avg_volume_20d,day_volume,premarket_volume,premarket_dollar_volume,market_cap,free_float,short_float_pct,days_to_cover,utilization_rate,borrow_fee_rate,reverse_split_in_last_24m,reverse_split_dates,offering_in_last_12m,registered_direct_or_pipe_in_last_12m,atm_offering_or_dilution_risk,deficiency_notice,otc_risk,all_time_high_or_major_5y_high,drawdown_from_major_high_pct,has_never_reverse_split,former_runner_history,number_of_prior_explosive_days,highest_intraday_expansion_last_252d_pct,max_volume_shock_last_252d,clean_collapse_recovery_candidate,years_since_major_peak,distance_from_52w_low_pct,premarket_gap_pct,premarket_vwap,premarket_hold_quality,premarket_range_pct,open_vs_prev_close_pct,open_vs_premarket_high_pct,first_5m_high,first_5m_low,first_5m_close,opening_range_break_yes_no,first_pullback_hold_yes_no,rvol,close_strength,above_vwap_yes_no,breakout_distance_pct,distance_to_20d_high_pct,distance_to_50d_high_pct,sma20,sma50,sma150,sma200,price_above_sma50_yes_no,price_above_sma200_yes_no,vcp_like_contraction_yes_no,ttm_squeeze_on,ttm_squeeze_fired,atr_14,amihud_illiquidity_proxy,headline_primary,headline_secondary,catalyst_type,catalyst_freshness_hours,news_source_quality,narrative_pivot_yes_no,notes
AXTI,2024-02-23,CLEAN_RECOVERY_2X,2.28,,,3.16,4.85,3.15,3.86,126115.0,103105600,,,4377370624,45255957.0,13.6,0.64,,,NO,,,,,,,6.57,65.3,YES,NO,0.0,17.54,15.95,YES,1.04,20.63,,,,,38.6,,,,,,,817.55,0.418,,68.99,-20.56,-22.18,2.4435,2.5,2.415733,2.63715,NO,NO,NO,NO,NO,0.111429,0.10595709,,,,,,,"No recent reverse split, the stock sat roughly 65% below its major high and still expanded 113% across the event window on outsized volume."
PHGE,2024-03-06,CLEAN_RECOVERY_2X,43.889999,,,136.800003,162.449997,98.989998,130.720001,448.95,740591,,,12799114,1121250.0,1.31,1.04,,,NO,,,,,,,131.100006,66.52,YES,NO,0.0,44.44,15.8,YES,1.02,23.53,,,,,211.69,,,,,,,1649.61,0.5,,242.0,-7.6,-39.21,42.047,45.5278,60.1616,62.4036,NO,NO,NO,YES,NO,4.017142,2.01247418,,,,,,,"No recent reverse split, the stock sat roughly 67% below its major high and still expanded 270% across the event window on outsized volume."
ILLR,2024-04-18,CLEAN_RECOVERY_2X,0.826446,,,2.623967,3.429752,1.489669,2.128099,129816.2,59472516,,,60683936,119155532.0,,3.22,,,NO,,,,,,,13.016529,93.65,YES,YES,1.0,217.75,436.45,YES,1.26,25.0,,,,,217.5,,,,,,,458.13,0.329,,232.67,-19.84,-23.08,0.822831,0.83,0.934725,1.222872,NO,NO,NO,NO,NO,0.085744,0.45871152,,,,,,,"No recent reverse split, the stock sat roughly 94% below its major high and still expanded 315% across the event window on outsized volume."
LUCY,2024-05-24,CLEAN_RECOVERY_2X,3.72,,,4.66,22.6,4.44,19.66,44714.75,47221620,,,6741707,5656859.0,1.51,1.17,,,NO,,,,,,,110.0,96.62,YES,NO,0.0,37.78,214.97,YES,1.12,10.71,,,,,25.27,,,,,,,1056.06,0.838,,337.98,-27.91,-48.9,4.143,5.0384,7.282533,8.5227,NO,NO,NO,YES,NO,0.735714,0.72232844,,,,,,,"No recent reverse split, the stock sat roughly 97% below its major high and still expanded 508% across the event window on outsized volume."
BNAI,2024-05-29,CLEAN_RECOVERY_2X,12.7,,,20.799999,31.6,16.799999,26.4,13384.5,10822010,,,204270272,3868125.0,11.64,0.58,,,NO,,,,,,,197.5,93.57,YES,YES,1.0,87.03,1138.95,YES,0.2,28.28,,,,,63.78,,,,,,,808.55,0.649,,31.67,-47.08,-93.57,14.8875,43.421,84.857,90.10515,NO,NO,YES,NO,NO,2.602143,0.62026575,,,,,,,"No recent reverse split, the stock sat roughly 94% below its major high and still expanded 149% across the event window on outsized volume."
SERV,2024-07-19,CLEAN_RECOVERY_2X,2.63,,,4.27,8.97,3.92,7.55,763415.0,266271300,,,756144832,62859619.0,27.57,4.52,,,NO,,,,,,,30.0,91.23,YES,NO,,,,NO,0.36,,,,,,62.36,,,,,,,348.79,0.719,,220.36,-6.07,-35.85,2.135,2.5357,,,YES,NO,YES,NO,NO,0.274143,0.06807821,,,,,,,"No recent reverse split, the stock sat roughly 91% below its major high and still expanded 428% across the event window on outsized volume."
VSA,2024-09-27,CLEAN_RECOVERY_2X,47.5,,,50.0,80.0,46.25,70.0,124.2,175570,,,4498835,216522249.0,,0.28,,,NO,2021-12-23,,,,,,310.0,84.68,NO,YES,1.0,126.42,212.18,YES,1.41,28.38,,,,,5.26,,,,,,,1413.61,0.704,,33.33,-20.83,-24.0,48.1775,47.884,74.310667,69.62575,NO,NO,NO,NO,NO,5.067857,22.38747892,,,,,,,"No recent reverse split, the stock sat roughly 85% below its major high and still expanded 111% across the event window on outsized volume."
LRHC,2024-10-23,CLEAN_RECOVERY_2X,3920.0,,,6560.0,14240.0,6048.0,9040.0,15.45,22813,,,860087,13398.0,2.05,0.02,,,NO,,,,,,,44240.0,91.14,YES,YES,5.0,317.36,,YES,1.04,4.23,,,,,67.35,,,,,,,1476.57,0.365,,147.22,-31.94,-65.0,4608.160034,6358.907207,9916.681071,10911.230798,NO,NO,YES,NO,NO,315.25715,0.42644615,,,,,,,"No recent reverse split, the stock sat roughly 91% below its major high and still expanded 263% across the event window on outsized volume."
CERO,2024-11-11,CLEAN_RECOVERY_2X,140.0,,,386.0,476.0,292.0,392.0,1668.7,723387,,,1066813,34917554.0,10.5,0.83,,,NO,,,,,,,25600.0,99.45,YES,YES,5.0,329.41,,YES,0.76,9.38,,,,,175.71,,,,,,,433.5,0.543,,135.64,-30.69,-67.29,165.0,183.76,971.386667,2928.62,NO,NO,YES,NO,NO,16.285714,0.15633354,,,,,,,"No recent reverse split, the stock sat roughly 99% below its major high and still expanded 371% across the event window on outsized volume."
RGC,2025-03-13,CLEAN_RECOVERY_2X,0.110526,,,0.114211,0.390789,0.114211,0.370789,456570.0,886490600,,,13895138304,43940284.0,1.26,5.62,,,NO,,,,,,,0.865526,87.23,YES,YES,3.0,862.61,1110.33,YES,2.13,38.61,,,,,3.33,,,,,,,1941.63,0.928,,179.66,-20.9,-42.57,0.110442,0.115113,0.151002,0.148353,NO,NO,NO,NO,NO,0.010838,0.95716781,,,,,,,"No recent reverse split, the stock sat roughly 87% below its major high and still expanded 254% across the event window on outsized volume."
